name,year,quarter,prs_count,issues_count
TypeScript,2014,1,3080,4695.0
Perl,2014,1,2335,1722.0
Lua,2014,1,2048,2166.0
Emacs Lisp,2014,1,1993,2109.0
Erlang,2014,1,1909,1124.0
Clojure,2014,1,1724,2275.0
Groovy,2014,1,1600,1601.0
DM,2014,1,1577,708.0
Puppet,2014,1,1459,673.0
Haskell,2014,1,1390,2072.0
Kotlin,2014,1,1341,1405.0
Nix,2014,1,1126,199.0
Rust,2014,1,846,394.0
Jupyter Notebook,2014,1,777,901.0
nesC,2014,1,708,
OCaml,2014,1,602,592.0
Makefile,2014,1,586,180.0
Swift,2014,1,585,1110.0
Dart,2014,1,569,627.0
Julia,2014,1,557,1043.0
F#,2014,1,550,696.0
Elixir,2014,1,434,508.0
Vim script,2014,1,418,979.0
PowerShell,2014,1,413,493.0
R,2014,1,373,405.0
TeX,2014,1,372,792.0
Scheme,2014,1,364,237.0
XSLT,2014,1,356,590.0
TSQL,2014,1,324,176.0
D,2014,1,313,546.0
VimL,2014,1,270,486.0
PLSQL,2014,1,269,
ActionScript,2014,1,266,428.0
CMake,2014,1,262,117.0
Haxe,2014,1,251,464.0
Apex,2014,1,242,528.0
QML,2014,1,196,236.0
Smalltalk,2014,1,191,
Fortran,2014,1,187,
Assembly,2014,1,161,174.0
Pascal,2014,1,146,
Common Lisp,2014,1,141,252.0
Objective-C++,2014,1,138,
Pan,2014,1,132,
Vala,2014,1,130,545.0
ColdFusion,2014,1,126,267.0
Tcl,2014,1,105,
Mako,2014,1,102,105.0
JavaScript,2014,2,91650,137097.0
Python,2014,2,73924,80000.0
Ruby,2014,2,60784,43668.0
PHP,2014,2,46812,50665.0
Java,2014,2,43988,70886.0
C++,2014,2,24380,31904.0
C,2014,2,14731,18007.0
HTML,2014,2,13161,15754.0
CSS,2014,2,10680,10717.0
C#,2014,2,10549,17304.0
Go,2014,2,10016,10660.0
Scala,2014,2,8631,6334.0
Objective-C,2014,2,8399,13531.0
Shell,2014,2,7958,7081.0
CoffeeScript,2014,2,5792,8330.0
TypeScript,2014,2,4635,6041.0
Perl,2014,2,2567,1690.0
Rust,2014,2,2286,1697.0
Lua,2014,2,2126,2456.0
Erlang,2014,2,1961,1414.0
Haskell,2014,2,1740,10940.0
Clojure,2014,2,1698,1931.0
Nix,2014,2,1619,448.0
Groovy,2014,2,1583,1558.0
Emacs Lisp,2014,2,1579,1950.0
Puppet,2014,2,1444,491.0
DM,2014,2,1244,651.0
Kotlin,2014,2,1176,1317.0
Jupyter Notebook,2014,2,914,1002.0
OCaml,2014,2,867,398.0
Swift,2014,2,840,1531.0
Elixir,2014,2,736,599.0
R,2014,2,706,702.0
Makefile,2014,2,628,340.0
F#,2014,2,614,791.0
Dart,2014,2,588,711.0
TSQL,2014,2,572,178.0
PLSQL,2014,2,571,
Julia,2014,2,553,1129.0
Fortran,2014,2,533,225.0
nesC,2014,2,507,
Vim script,2014,2,457,799.0
PowerShell,2014,2,427,475.0
Scheme,2014,2,420,177.0
ActionScript,2014,2,393,597.0
Haxe,2014,2,383,381.0
TeX,2014,2,375,906.0
XSLT,2014,2,323,317.0
VimL,2014,2,279,550.0
Smalltalk,2014,2,277,147.0
D,2014,2,260,536.0
Assembly,2014,2,258,275.0
Apex,2014,2,216,405.0
ColdFusion,2014,2,198,183.0
Liquid,2014,2,171,
Pascal,2014,2,149,
SQLPL,2014,2,138,
Objective-C++,2014,2,132,
Racket,2014,2,129,108.0
SQL,2014,2,123,100.0
Objective-J,2014,2,115,377.0
Common Lisp,2014,2,113,293.0
Vim Snippet,2014,2,110,
CMake,2014,2,109,117.0
Common Workflow Language,2014,2,107,
Eagle,2014,2,106,167.0
Vala,2014,2,105,382.0
Protocol Buffer,2014,2,104,
QML,2014,2,103,263.0
Standard ML,2014,2,102,309.0
JavaScript,2014,3,109364,155730.0
Python,2014,3,82053,80733.0
Ruby,2014,3,67387,43085.0
PHP,2014,3,53112,58587.0
Java,2014,3,49765,65404.0
C++,2014,3,29235,32832.0
Go,2014,3,16910,13886.0
HTML,2014,3,16756,18089.0
C,2014,3,16625,18428.0
C#,2014,3,11871,23982.0
CSS,2014,3,11732,12032.0
Scala,2014,3,10910,8100.0
Shell,2014,3,10511,8707.0
Objective-C,2014,3,8385,14475.0
CoffeeScript,2014,3,6112,9754.0
TypeScript,2014,3,5370,8480.0
Rust,2014,3,3500,2241.0
Perl,2014,3,2991,1731.0
Lua,2014,3,2622,2869.0
Swift,2014,3,2613,2896.0
Haskell,2014,3,2523,4152.0
Clojure,2014,3,2482,2344.0
Nix,2014,3,2066,375.0
Groovy,2014,3,1814,1925.0
Erlang,2014,3,1804,1375.0
Puppet,2014,3,1580,448.0
Emacs Lisp,2014,3,1535,2147.0
Makefile,2014,3,1393,706.0
DM,2014,3,1388,739.0
Jupyter Notebook,2014,3,1126,1276.0
Elixir,2014,3,1073,1106.0
Kotlin,2014,3,1056,1529.0
PLSQL,2014,3,1000,
OCaml,2014,3,857,591.0
Julia,2014,3,768,1368.0
F#,2014,3,689,965.0
ActionScript,2014,3,634,719.0
Dart,2014,3,579,765.0
R,2014,3,561,1052.0
PowerShell,2014,3,552,600.0
Fortran,2014,3,511,248.0
D,2014,3,466,588.0
TSQL,2014,3,423,185.0
Scheme,2014,3,372,154.0
TeX,2014,3,347,507.0
Vim script,2014,3,321,724.0
XSLT,2014,3,278,318.0
Smalltalk,2014,3,243,198.0
Common Lisp,2014,3,240,330.0
Apex,2014,3,238,584.0
VimL,2014,3,234,452.0
Haxe,2014,3,232,372.0
ColdFusion,2014,3,219,388.0
Assembly,2014,3,214,442.0
CMake,2014,3,205,125.0
Pascal,2014,3,167,137.0
SCSS,2014,3,154,
Liquid,2014,3,147,
XQuery,2014,3,145,
Objective-J,2014,3,143,455.0
Dockerfile,2014,3,139,114.0
Tcl,2014,3,138,
QML,2014,3,134,151.0
GCC Machine Description,2014,3,131,
PLpgSQL,2014,3,123,140.0
Protocol Buffer,2014,3,118,
Vala,2014,3,116,397.0
Vim Snippet,2014,3,116,
Xtend,2014,3,109,105.0
Matlab,2014,3,105,248.0
ApacheConf,2014,3,103,118.0
Common Workflow Language,2014,3,102,
Arduino,2014,3,102,164.0
JavaScript,2014,4,122908,179390.0
Python,2014,4,92612,81662.0
Ruby,2014,4,74442,47394.0
Java,2014,4,57996,74304.0
PHP,2014,4,56585,64516.0
C++,2014,4,32035,53125.0
Go,2014,4,20395,16332.0
C,2014,4,19354,20525.0
HTML,2014,4,17772,17257.0
C#,2014,4,14199,22183.0
CSS,2014,4,13352,13285.0
Shell,2014,4,11773,9887.0
Scala,2014,4,10851,7946.0
Objective-C,2014,4,8353,14187.0
TypeScript,2014,4,7015,10732.0
CoffeeScript,2014,4,5697,9738.0
Rust,2014,4,5462,3117.0
Swift,2014,4,3406,3917.0
Perl,2014,4,3240,2101.0
Clojure,2014,4,2734,3495.0
Lua,2014,4,2728,4067.0
Haskell,2014,4,2645,3213.0
Kotlin,2014,4,2328,3000.0
DM,2014,4,2144,1390.0
Erlang,2014,4,2084,1575.0
Puppet,2014,4,1949,609.0
Nix,2014,4,1885,585.0
Emacs Lisp,2014,4,1815,2482.0
Groovy,2014,4,1675,2614.0
Makefile,2014,4,1539,1099.0
PLSQL,2014,4,1113,
OCaml,2014,4,968,969.0
F#,2014,4,968,1499.0
Jupyter Notebook,2014,4,865,1042.0
Elixir,2014,4,827,659.0
R,2014,4,813,1144.0
TSQL,2014,4,803,410.0
PowerShell,2014,4,676,655.0
YAML,2014,4,673,
Julia,2014,4,669,1128.0
Vim script,2014,4,576,991.0
Visual Basic,2014,4,548,540.0
TeX,2014,4,547,717.0
Dart,2014,4,539,731.0
XSLT,2014,4,527,565.0
CMake,2014,4,492,157.0
Fortran,2014,4,467,184.0
SCSS,2014,4,447,193.0
Gherkin,2014,4,425,211.0
D,2014,4,354,380.0
JSON,2014,4,312,
Haxe,2014,4,311,787.0
Scheme,2014,4,303,142.0
Smalltalk,2014,4,285,228.0
PureScript,2014,4,256,164.0
Common Lisp,2014,4,252,378.0
VimL,2014,4,230,489.0
ColdFusion,2014,4,227,258.0
ActionScript,2014,4,222,609.0
ApacheConf,2014,4,221,152.0
ooc,2014,4,212,
Dockerfile,2014,4,209,275.0
Apex,2014,4,186,446.0
QML,2014,4,178,383.0
MATLAB,2014,4,168,324.0
Standard ML,2014,4,161,141.0
Pascal,2014,4,139,207.0
XQuery,2014,4,138,
SQLPL,2014,4,133,
Objective-J,2014,4,126,254.0
SQF,2014,4,126,248.0
PostScript,2014,4,125,342.0
Protocol Buffer,2014,4,119,
Matlab,2014,4,117,337.0
Tcl,2014,4,110,114.0
ASP,2014,4,104,
GCC Machine Description,2014,4,103,
Assembly,2014,4,100,176.0
JavaScript,2015,1,159184,222962.0
Python,2015,1,119803,111594.0
Ruby,2015,1,92148,55780.0
Java,2015,1,79605,94969.0
PHP,2015,1,74671,79557.0
C++,2015,1,39024,43846.0
Go,2015,1,30419,23597.0
HTML,2015,1,27733,26450.0
C,2015,1,23609,24850.0
C#,2015,1,22963,32578.0
CSS,2015,1,16878,17468.0
Shell,2015,1,15493,13407.0
Scala,2015,1,13536,9091.0
Objective-C,2015,1,11216,15661.0
TypeScript,2015,1,9668,14234.0
Rust,2015,1,8089,4122.0
CoffeeScript,2015,1,6802,13404.0
Swift,2015,1,4813,5049.0
Perl,2015,1,3933,2826.0
Lua,2015,1,3560,5154.0
Clojure,2015,1,3488,3225.0
Haskell,2015,1,3244,4222.0
Erlang,2015,1,2602,1818.0
DM,2015,1,2596,1676.0
Makefile,2015,1,2485,1321.0
Puppet,2015,1,2480,878.0
Nix,2015,1,2404,790.0
Groovy,2015,1,2364,3214.0
Emacs Lisp,2015,1,2274,2977.0
Kotlin,2015,1,1823,4020.0
R,2015,1,1577,1774.0
Jupyter Notebook,2015,1,1568,1585.0
OCaml,2015,1,1175,1032.0
Dart,2015,1,1147,1658.0
Elixir,2015,1,1068,888.0
TSQL,2015,1,971,473.0
PowerShell,2015,1,962,1112.0
Julia,2015,1,950,1453.0
YAML,2015,1,938,
F#,2015,1,872,1348.0
Visual Basic,2015,1,830,542.0
Vim script,2015,1,637,1001.0
TeX,2015,1,635,1490.0
ApacheConf,2015,1,589,685.0
Fortran,2015,1,575,219.0
Scheme,2015,1,562,248.0
PLSQL,2015,1,477,371.0
Thrift,2015,1,467,
Haxe,2015,1,450,704.0
Dockerfile,2015,1,422,375.0
PureScript,2015,1,411,453.0
XSLT,2015,1,404,523.0
QML,2015,1,399,662.0
SCSS,2015,1,360,258.0
VimL,2015,1,357,547.0
D,2015,1,342,700.0
Common Lisp,2015,1,337,393.0
SQF,2015,1,326,334.0
Assembly,2015,1,324,400.0
CMake,2015,1,315,366.0
ColdFusion,2015,1,310,490.0
PLpgSQL,2015,1,272,483.0
Vala,2015,1,267,658.0
Apex,2015,1,251,492.0
MATLAB,2015,1,237,523.0
Smalltalk,2015,1,231,380.0
Gherkin,2015,1,229,176.0
Tcl,2015,1,218,
ActionScript,2015,1,212,555.0
Eagle,2015,1,207,267.0
Standard ML,2015,1,204,152.0
Objective-C++,2015,1,199,
JSON,2015,1,188,
HCL,2015,1,186,
PostScript,2015,1,179,271.0
ooc,2015,1,177,
ASP,2015,1,174,
